depth_m	age_gas_calBP	age_gas_calBPerr	co2_ppm	co2_1s_ppm	notes
736.06	23185.00		188.60	0.87	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
737.12	23276.70		197.67	1.29	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
738.05	23358.40		193.53	1.72	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
739.04	23445.20		186.78	0.46	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
740.10	23600.50		187.99	0.41	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
741.37	23873.80		183.13	0.03	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
742.30	24077.70		184.68	0.62	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
743.17	24269.80		186.73	0.92	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
744.86	24643.60		180.57	2.72	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
747.25	25163.60		180.69	0.78	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
748.11	25351.10		182.66	0.08	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
748.95	25543.60		183.38	0.62	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
750.07	25786.00		186.54	0.58	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
751.13	26016.00		184.52	0.41	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
752.18	26254.50		184.57	0.52	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
752.46	26315.00		183.77	0.53	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
753.13	26460.70		186.01	0.81	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
753.48	26537.10		185.51	0.53	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
754.23	26703.70		185.44	0.33	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
754.93	26857.80		186.43	0.22	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
755.37	26954.90		188.08	0.80	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
755.77	27042.00		187.39	0.21	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
755.96	27084.80		186.27	0.06	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
756.35	27170.20		194.93	0.48	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
756.86	27280.10		190.06	0.47	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
757.65	27441.90		191.95	0.84	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
758.01	27502.80		191.23	1.92	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
758.51	27549.70		191.53	1.94	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
758.94	27586.40		191.95	0.38	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
759.82	27661.30		191.46	0.69	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
760.12	27687.00		192.71	0.08	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
760.42	27714.10		190.61	1.64	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
760.48	27718.60		189.30	0.32	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
761.20	27820.70		187.59	0.87	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
761.50	27866.40		190.58	0.49	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
761.62	27885.00		189.28	0.12	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
761.89	27927.10		188.99	0.39	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
762.19	27973.20		189.29	0.31	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
763.02	28097.30		189.96	0.64	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
763.78	28214.10		191.82	0.28	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
764.16	28271.60		191.59	0.32	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
764.77	28369.70		192.63	1.67	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
765.05	28413.90		189.16	0.24	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
765.13	28426.90		189.65	0.56	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
765.98	28577.40		193.10	0.05	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
766.33	28626.40		192.82	0.16	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
766.96	28724.30		193.80	0.20	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
767.75	28841.90		193.89	0.34	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
768.12	28902.70		192.69	0.54	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
768.43	28948.60		193.26	0.73	Siple Dome (20-40 kyr BP) Ahn et al. (2014 a) (Nature Communications)  Oregon State University
